code,description,car_type,category,common_cause,fix_tip
P0010,A Camshaft Position Actuator Circuit/Open Bank 1,Toyota All Models,Electrical,VVT solenoid wiring or connector fault,Check VVT solenoid connector and wiring harness
P0011,A Camshaft Position Timing Over-Advanced Bank 1,Toyota All Models,Mechanical,VVT solenoid stuck or low oil pressure,Clean VVT solenoid screen,check oil level and pressure
P0012,A Camshaft Position Timing Over-Retarded Bank 1,Toyota All Models,Mechanical,VVT solenoid clogged or timing chain stretched,Clean VVT system,inspect timing components
P0013,B Camshaft Position Actuator Circuit/Open Bank 1,Toyota All Models,Electrical,VVT solenoid B wiring fault,Check VVT solenoid B connector and wiring
P0014,B Camshaft Position Timing Over-Advanced Bank 1,Toyota All Models,Mechanical,VVT solenoid B stuck or oil flow issue,Clean or replace VVT solenoid B
P0015,B Camshaft Position Timing Over-Retarded Bank 1,Toyota All Models,Mechanical,VVT oil control valve fault,Check oil passages to VVT system
P0016,Crankshaft/Camshaft Position Correlation Bank 1,Toyota All Models,Mechanical,Timing chain/belt jumped or sensor misaligned,Verify timing marks,check sensor alignment
P0017,Crankshaft/Camshaft Position Correlation Bank 1 Sensor B,Toyota All Models,Mechanical,Exhaust VVT timing off or sensor fault,Check exhaust VVT system and CMP sensor
P0018,Crankshaft/Camshaft Position Correlation Bank 2,Toyota V6/V8 Models,Mechanical,Timing issue on bank 2,Inspect bank 2 timing components
P0019,Crankshaft/Camshaft Position Correlation Bank 2 Sensor B,Toyota V6/V8 Models,Mechanical,Exhaust VVT bank 2 timing fault,Check bank 2 exhaust VVT system
P0020,A Camshaft Position Actuator Circuit Bank 2,Toyota V6/V8 Models,Electrical,VVT solenoid bank 2 wiring fault,Check bank 2 VVT solenoid wiring
P0021,A Camshaft Timing Over-Advanced Bank 2,Toyota V6/V8 Models,Mechanical,VVT bank 2 solenoid stuck,Clean bank 2 VVT solenoid
P0022,A Camshaft Timing Over-Retarded Bank 2,Toyota V6/V8 Models,Mechanical,VVT bank 2 oil control issue,Check oil pressure to bank 2 VVT
P0030,HO2S Heater Control Circuit Bank 1 Sensor 1,Toyota All Models,Electrical,Upstream O2 sensor heater circuit fault,Replace upstream oxygen sensor
P0031,HO2S Heater Control Circuit Low Bank 1 Sensor 1,Toyota All Models,Electrical,O2 heater wiring short to ground,Check O2 sensor heater wiring for shorts
P0032,HO2S Heater Control Circuit High Bank 1 Sensor 1,Toyota All Models,Electrical,O2 heater wiring short to battery,Check O2 sensor heater wiring for power short
P0033,Turbocharger Bypass Valve Control Circuit,Toyota Turbo Models,Electrical,Turbo bypass solenoid wiring fault,Check turbo bypass valve wiring
P0034,Turbocharger Bypass Valve Control Circuit Low,Toyota Turbo Models,Electrical,Bypass solenoid circuit short to ground,Check bypass valve wiring harness
P0035,Turbocharger Bypass Valve Control Circuit High,Toyota Turbo Models,Electrical,Bypass solenoid circuit short to battery,Check bypass valve wiring for power short
P0036,HO2S Heater Control Circuit Bank 1 Sensor 2,Toyota All Models,Electrical,Downstream O2 sensor heater fault,Replace downstream oxygen sensor
P0037,HO2S Heater Control Circuit Low Bank 1 Sensor 2,Toyota All Models,Electrical,Downstream O2 heater wiring short,Check downstream O2 wiring
